=================================================
Flow Counts S1/S2/S3 \(deduct 2\):
162
167
237
S1 Flows ----------->
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x539, duration=14.359s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=2a:cf:9f:19:7f:9d,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=13.563s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=2a:cf:9f:19:7f:9d,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.365s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.352s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=8a:83:f7:69:42:ba,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.378s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=14.352s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.353s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=9e:ae:9c:9b:63:f9,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.394s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=13.563s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.423s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.358s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
